manudir,manudir-href,City,High,Low
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Saint Petersburg, Russia","20","11"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Sarajevo, Bosnia & Herzegovina","4","-3"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Vaduz, Liechtenstein","20","9"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Sofia, Bulgaria","10","1"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Vienna, Austria","8","3"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Zagreb, Croatia","22","10"
"August","https://www.currentresults.com/Weather/Europe/Cities/temperature-august.php","Reykjavík, Iceland","13","8"
"March","https://www.currentresults.com/Weather/Europe/Cities/temperature-march.php","Skopje, Macedonia","13","3"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Vilnius, Lithuania","21","11"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Zagreb, Croatia","27","15"
"September","https://www.currentresults.com/Weather/Europe/Cities/temperature-september.php","Tallinn, Estonia","15","7"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Valletta, Malta","15","9"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Saint Petersburg, Russia","22","14"
"February","https://www.currentresults.com/Weather/Europe/Cities/temperature-february.php","Rostov-on-Don, Russia","0","-7"
"December","https://www.currentresults.com/Weather/Europe/Cities/temperature-december.php","Stockholm, Sweden","1","-3"
"January","https://www.currentresults.com/Weather/Europe/Cities/temperature-january.php","Tallinn, Estonia","-1","-7"
"Year","https://www.currentresults.com/Weather/Europe/Cities/temperature-annual-average.php","Tirana, Albania","21","9"
"November","https://www.currentresults.com/Weather/Europe/Cities/temperature-november.php","Tallinn, Estonia","3","-1"
"June","https://www.currentresults.com/Weather/Europe/Cities/temperature-june.php","Tallinn, Estonia","19","10"
"May","https://www.currentresults.com/Weather/Europe/Cities/temperature-may.php","Valletta, Malta","23","15"
"July","https://www.currentresults.com/Weather/Europe/Cities/temperature-july.php","Tirana, Albania","32","16"
